TIME,OCCUPANCY,RATE
01/06/2018 12:10,172,0.421568627
01/06/2018 12:15,169,0.414215686
01/06/2018 12:20,166,0.406862745
01/06/2018 12:25,166,0.406862745
01/06/2018 12:30,163,0.399509804
01/06/2018 12:35,159,0.389705882
01/06/2018 12:40,151,0.370098039
01/06/2018 12:45,142,0.348039216
01/06/2018 12:50,136,0.333333333
01/06/2018 12:55,137,0.335784314
01/06/2018 13:00,133,0.325980392
01/06/2018 13:05,128,0.31372549
01/06/2018 13:10,128,0.31372549
01/06/2018 13:15,125,0.306372549
01/06/2018 13:20,127,0.31127451
01/06/2018 13:25,131,0.321078431
01/06/2018 13:30,135,0.330882353
01/06/2018 13:35,144,0.352941176
01/06/2018 13:40,151,0.370098039
01/06/2018 13:45,160,0.392156863
01/06/2018 13:50,164,0.401960784
01/06/2018 13:55,164,0.401960784
01/06/2018 14:00,173,0.424019608
01/06/2018 14:05,190,0.465686275
01/06/2018 14:10,204,0.5
01/06/2018 14:15,205,0.50245098
01/06/2018 14:20,211,0.517156863
01/06/2018 14:25,218,0.534313725
01/06/2018 14:30,214,0.524509804
01/06/2018 14:35,218,0.534313725
01/06/2018 14:40,218,0.534313725
01/06/2018 14:45,217,0.531862745
01/06/2018 14:50,220,0.539215686
01/06/2018 14:55,218,0.534313725
01/06/2018 15:00,219,0.536764706
01/06/2018 15:05,222,0.544117647
01/06/2018 15:10,222,0.544117647
01/06/2018 15:15,218,0.534313725
01/06/2018 15:20,224,0.549019608
01/06/2018 15:25,224,0.549019608
01/06/2018 15:30,217,0.531862745
01/06/2018 15:35,213,0.522058824
01/06/2018 15:40,210,0.514705882
01/06/2018 15:45,209,0.512254902
01/06/2018 15:50,212,0.519607843
01/06/2018 15:55,210,0.514705882
01/06/2018 16:00,209,0.512254902
01/06/2018 16:05,211,0.517156863
01/06/2018 16:10,211,0.517156863
01/06/2018 16:15,205,0.50245098
01/06/2018 16:20,194,0.475490196
01/06/2018 16:25,181,0.443627451
01/06/2018 16:30,177,0.433823529
01/06/2018 16:35,169,0.414215686
01/06/2018 16:40,160,0.392156863
01/06/2018 16:45,148,0.362745098
01/06/2018 16:50,143,0.350490196
01/06/2018 16:55,143,0.350490196
01/06/2018 17:00,137,0.335784314
01/06/2018 17:05,126,0.308823529
01/06/2018 17:10,115,0.281862745
01/06/2018 17:15,103,0.25245098
01/06/2018 17:20,94,0.230392157
