ds,y
2021-02-24,-0.00555473
2021-02-25,-0.0175033
2021-02-26,-0.00593177
2021-02-27,-0.0172647
2021-02-28,-0.0104089
2021-03-01,0.00386362
2021-03-02,-0.0125801
2021-03-03,-0.00509629
2021-03-04,-0.0166219
2021-03-05,-0.00600696
2021-03-06,-0.0192511
2021-03-07,-0.00109514
2021-03-08,-0.00931557
2021-03-09,-0.00363017
2021-03-10,-0.00777589
2021-03-11,-0.015675
2021-03-12,-0.0053834
2021-03-13,-0.0178378
2021-03-14,-0.00278655
2021-03-15,-0.00882896
2021-03-16,-0.0133428
2021-03-17,-0.000935821
2021-03-18,-0.0246273
2021-03-19,-0.00515316
2021-03-20,-0.0274352
2021-03-21,-0.00757191
2021-03-22,-0.0168552
2021-03-23,0.00591201
2021-03-24,-0.00739151
2021-03-25,-0.00949614
2021-03-26,0.0233296
2021-03-27,-0.00283785
2021-03-28,0.00339717
2021-03-29,-0.00926384
2021-03-30,0.0112614
2021-03-31,-0.0151161
2021-04-01,-0.00196158
2021-04-02,0.00137891
2021-04-03,0.0211853
2021-04-04,0.0300741
2021-04-05,0.00661487
2021-04-06,0.00421721
2021-04-07,-0.00323653
2021-04-08,-0.0247405
2021-04-09,0.015465
2021-04-10,-0.0225252
2021-04-11,7.68613e-05
2021-04-12,0.0119557
2021-04-13,-0.000181407
2021-04-14,-0.00518847
2021-04-15,0.00828832
2021-04-16,0.00650126
2021-04-17,0.00059377
2021-04-18,-0.0113177
2021-04-19,0.00308198
2021-04-20,-0.0152168
2021-04-21,0.0094129
2021-04-22,-0.00156815
2021-04-23,-0.0109277
2021-04-24,-0.0335983
2021-04-25,-0.0146928
2021-04-26,-0.0275114
2021-04-27,-0.0401394
2021-04-28,-0.0259545
2021-04-29,-0.0181993
2021-04-30,-0.0264741
2021-05-01,-0.0386933
2021-05-02,-0.00710541
2021-05-03,-0.0268598
2021-05-04,0.00255759
2021-05-05,-0.0109945
2021-05-06,-0.0262334
2021-05-07,-0.0112964
2021-05-08,-0.0158191
2021-05-09,-0.0176531
2021-05-10,-0.0172837
2021-05-11,-0.00701483
2021-05-12,-0.0244947
2021-05-13,-0.00824611
2021-05-14,-0.0271493
2021-05-15,-0.0263685
2021-05-16,-0.0213991
2021-05-17,-0.00945062
2021-05-18,-0.0107713
2021-05-19,0.000305034
2021-05-20,-0.0127638
2021-05-21,-0.00530053
2021-05-22,0.00361593
2021-05-23,-0.0321018
2021-05-24,-0.0175728
2021-05-25,-0.0107357
2021-05-26,-0.0355845
2021-05-27,-0.0228255
2021-05-28,-0.00692211
2021-05-29,-0.00412425
2021-05-30,-0.00829239
2021-05-31,-0.0195032
2021-06-01,-0.0282168
2021-06-02,-0.0125556
2021-06-03,-0.0106164
2021-06-04,-0.0185619
2021-06-05,-0.0254264
2021-06-06,-0.0197315
2021-06-07,-0.0192687
2021-06-08,-0.00192247
2021-06-09,-0.00521906
2021-06-10,0.002157
2021-06-11,-0.00379172
2021-06-12,-0.0201378
2021-06-13,0.0158971
2021-06-14,0.0306107
2021-06-15,0.0581036
2021-06-16,0.0415362
2021-06-17,0.00268144
2021-06-18,0.0100205
2021-06-19,0.0146389
2021-06-20,0.0305156
2021-06-21,0.0197438
2021-06-22,0.00820444
2021-06-23,0.000896461
2021-06-24,0.00611615
2021-06-25,0.00797144
2021-06-26,0.0079386
2021-06-27,-0.00142833
2021-06-28,0.000262033
2021-06-29,0.0345596
2021-06-30,-0.00276884
2021-07-01,0.0266606
2021-07-02,0.0404469
2021-07-03,0.0232073
2021-07-04,0.01445
2021-07-05,-0.00826217
2021-07-06,-0.00959326
2021-07-07,0.00990243
2021-07-08,0.0221447
2021-07-09,0.00991847
2021-07-10,0.0307772
2021-07-11,0.0229612
2021-07-12,0.0265534
2021-07-13,0.0320545
2021-07-14,0.0381439
2021-07-15,0.0409742
2021-07-16,0.0383921
2021-07-17,0.0392291
2021-07-18,0.040139
2021-07-19,0.0287973
2021-07-20,0.0466895
2021-07-21,0.0375044
2021-07-22,0.0594506
